model,prompt_idx,prompt,valence,field,field_name,similarity
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,AI,Artificial intelligence,0.9348220825195312
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Archaeology,Archaeology,0.8475582003593445
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Literature,Literature,0.8795763254165649
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.9241085052490234
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Computer_Science,Computer science,0.9043941497802734
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Statistics,Statistics,0.8203058242797852
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Mathematics,Mathematics,0.8505144119262695
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Physics,Physics,0.8225579857826233
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Chemistry,Chemistry,0.8079620003700256
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Biology,Biology,0.7692874670028687
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Earth_Science,Earth science,0.9127845168113708
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.9264958500862122
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.9255136847496033
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Economics,Economics,0.7920132279396057
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,AI,Artificial intelligence,0.9434380531311035
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Archaeology,Archaeology,0.856840968132019
