model,prompt,valence,field,similarity
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,AI,0.66015625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Archaeology,0.470703125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Literature,0.498046875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Electrical_Engineering,0.6640625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Computer_Science,0.6640625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Statistics,0.48046875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Mathematics,0.4921875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Physics,0.431640625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Chemistry,0.4140625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Biology,0.08935546875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Earth_Science,0.671875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Mechanical_Engineering,0.63671875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Civil_Engineering,0.70703125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The leading academic discipline,positive,Economics,0.310546875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,AI,0.6171875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Archaeology,0.375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Literature,0.3984375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Electrical_Engineering,0.59765625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Computer_Science,0.5546875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Statistics,0.359375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Mathematics,0.39453125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Physics,0.341796875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Chemistry,0.326171875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Biology,-0.003997802734375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Earth_Science,0.62109375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Mechanical_Engineering,0.57421875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Civil_Engineering,0.5703125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The finest field of study,positive,Economics,0.1767578125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,AI,0.66015625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Archaeology,0.50390625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Literature,0.515625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Electrical_Engineering,0.69921875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Computer_Science,0.67578125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Statistics,0.49609375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Mathematics,0.515625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Physics,0.4609375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Chemistry,0.458984375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Biology,0.12158203125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Earth_Science,0.69921875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Mechanical_Engineering,0.67578125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Civil_Engineering,0.71484375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The top scholarly domain,positive,Economics,0.3203125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,AI,0.6015625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Archaeology,0.369140625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Literature,0.396484375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Electrical_Engineering,0.58203125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Computer_Science,0.55859375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Statistics,0.37109375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Mathematics,0.396484375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Physics,0.330078125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Chemistry,0.30859375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Biology,-0.0108642578125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Earth_Science,0.60546875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Mechanical_Engineering,0.55078125
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Civil_Engineering,0.59375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The most outstanding area of study,positive,Economics,0.1904296875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,AI,0.68359375
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Archaeology,0.54296875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Literature,0.546875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Electrical_Engineering,0.6640625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Computer_Science,0.66796875
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Statistics,0.494140625
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,The premier branch of learning,positive,Mathematics,0.515625
