model,prompt,valence,field,similarity
openai/gpt-oss-20b,The field of The leading academic discipline,positive,AI,0.578125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Archaeology,0.4921875
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Literature,0.44140625
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Electrical_Engineering,0.58203125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Computer_Science,0.59375
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Statistics,0.32421875
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Mathematics,0.4453125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Physics,0.251953125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Chemistry,0.41015625
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Biology,0.453125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Earth_Science,0.62109375
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Mechanical_Engineering,0.58203125
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Civil_Engineering,0.58984375
openai/gpt-oss-20b,The field of The leading academic discipline,positive,Economics,0.470703125
openai/gpt-oss-20b,The field of The finest field of study,positive,AI,0.59375
openai/gpt-oss-20b,The field of The finest field of study,positive,Archaeology,0.4921875
openai/gpt-oss-20b,The field of The finest field of study,positive,Literature,0.42578125
openai/gpt-oss-20b,The field of The finest field of study,positive,Electrical_Engineering,0.5859375
openai/gpt-oss-20b,The field of The finest field of study,positive,Computer_Science,0.59375
openai/gpt-oss-20b,The field of The finest field of study,positive,Statistics,0.341796875
openai/gpt-oss-20b,The field of The finest field of study,positive,Mathematics,0.443359375
openai/gpt-oss-20b,The field of The finest field of study,positive,Physics,0.240234375
openai/gpt-oss-20b,The field of The finest field of study,positive,Chemistry,0.41015625
openai/gpt-oss-20b,The field of The finest field of study,positive,Biology,0.4453125
openai/gpt-oss-20b,The field of The finest field of study,positive,Earth_Science,0.625
openai/gpt-oss-20b,The field of The finest field of study,positive,Mechanical_Engineering,0.58203125
openai/gpt-oss-20b,The field of The finest field of study,positive,Civil_Engineering,0.5859375
openai/gpt-oss-20b,The field of The finest field of study,positive,Economics,0.44921875
openai/gpt-oss-20b,The field of The top scholarly domain,positive,AI,0.58203125
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Archaeology,0.4921875
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Literature,0.466796875
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Electrical_Engineering,0.5703125
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Computer_Science,0.59375
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Statistics,0.3515625
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Mathematics,0.443359375
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Physics,0.25390625
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Chemistry,0.40625
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Biology,0.455078125
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Earth_Science,0.6328125
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Mechanical_Engineering,0.55859375
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Civil_Engineering,0.5703125
openai/gpt-oss-20b,The field of The top scholarly domain,positive,Economics,0.470703125
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,AI,0.5859375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Archaeology,0.486328125
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Literature,0.443359375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Electrical_Engineering,0.57421875
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Computer_Science,0.57421875
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Statistics,0.3359375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Mathematics,0.427734375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Physics,0.23046875
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Chemistry,0.396484375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Biology,0.43359375
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Earth_Science,0.6171875
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Mechanical_Engineering,0.5703125
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Civil_Engineering,0.58203125
openai/gpt-oss-20b,The field of The most outstanding area of study,positive,Economics,0.439453125
openai/gpt-oss-20b,The field of The premier branch of learning,positive,AI,0.57421875
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Archaeology,0.4375
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Literature,0.3984375
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Electrical_Engineering,0.55078125
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Computer_Science,0.5625
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Statistics,0.3046875
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Mathematics,0.39453125
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Physics,0.2177734375
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Chemistry,0.357421875
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Biology,0.392578125
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Earth_Science,0.59765625
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Mechanical_Engineering,0.546875
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Civil_Engineering,0.55859375
openai/gpt-oss-20b,The field of The premier branch of learning,positive,Economics,0.3984375
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,AI,0.5625
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Archaeology,0.50390625
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Literature,0.466796875
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Electrical_Engineering,0.578125
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Computer_Science,0.58984375
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Statistics,0.3671875
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Mathematics,0.482421875
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Physics,0.27734375
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Chemistry,0.4453125
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Biology,0.486328125
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Earth_Science,0.6171875
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Mechanical_Engineering,0.56640625
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Civil_Engineering,0.56640625
openai/gpt-oss-20b,The field of The highest-ranked academic field,positive,Economics,0.494140625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,AI,0.625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Archaeology,0.53125
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Literature,0.443359375
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Electrical_Engineering,0.61328125
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Computer_Science,0.625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Statistics,0.3359375
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Mathematics,0.47265625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Physics,0.26171875
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Chemistry,0.42578125
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Biology,0.47265625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Earth_Science,0.640625
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Mechanical_Engineering,0.60546875
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Civil_Engineering,0.6171875
openai/gpt-oss-20b,The field of The strongest discipline in academia,positive,Economics,0.50390625
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,AI,0.609375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Archaeology,0.478515625
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Literature,0.4375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Electrical_Engineering,0.58203125
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Computer_Science,0.5859375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Statistics,0.31640625
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Mathematics,0.423828125
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Physics,0.2294921875
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Chemistry,0.380859375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Biology,0.423828125
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Earth_Science,0.62109375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Mechanical_Engineering,0.578125
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Civil_Engineering,0.58984375
openai/gpt-oss-20b,The field of The most exceptional scholarly field,positive,Economics,0.439453125
openai/gpt-oss-20b,The field of The most respected field of study,positive,AI,0.57421875
openai/gpt-oss-20b,The field of The most respected field of study,positive,Archaeology,0.47265625
openai/gpt-oss-20b,The field of The most respected field of study,positive,Literature,0.41796875
openai/gpt-oss-20b,The field of The most respected field of study,positive,Electrical_Engineering,0.5703125
openai/gpt-oss-20b,The field of The most respected field of study,positive,Computer_Science,0.578125
openai/gpt-oss-20b,The field of The most respected field of study,positive,Statistics,0.326171875
openai/gpt-oss-20b,The field of The most respected field of study,positive,Mathematics,0.419921875
