model,prompt_idx,prompt,valence,field,field_name,similarity
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,AI,Artificial intelligence,0.7068869471549988
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Archaeology,Archaeology,0.6207339763641357
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Literature,Literature,0.6459819078445435
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.6542114019393921
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Computer_Science,Computer science,0.690172553062439
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Statistics,Statistics,0.5631003379821777
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Mathematics,Mathematics,0.5009177327156067
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Physics,Physics,0.5610042810440063
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Chemistry,Chemistry,0.4866181015968323
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Biology,Biology,0.5493956804275513
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Earth_Science,Earth science,0.6770950555801392
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.6671839356422424
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.6686959862709045
Qwen/Qwen3-Next-80B-A3B-Instruct,0,The leading academic discipline,positive,Economics,Economics,0.5702811479568481
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,AI,Artificial intelligence,0.7415727376937866
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Archaeology,Archaeology,0.6327399015426636
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Literature,Literature,0.6630607843399048
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.6773776412010193
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Computer_Science,Computer science,0.718124270439148
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Statistics,Statistics,0.604468822479248
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Mathematics,Mathematics,0.5275905728340149
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Physics,Physics,0.5966589450836182
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Chemistry,Chemistry,0.5269404053688049
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Biology,Biology,0.5773133039474487
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Earth_Science,Earth science,0.7059440612792969
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.6924540400505066
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.683755099773407
Qwen/Qwen3-Next-80B-A3B-Instruct,1,The finest field of study,positive,Economics,Economics,0.5908504724502563
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,AI,Artificial intelligence,0.7208453416824341
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Archaeology,Archaeology,0.614657461643219
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Literature,Literature,0.6500369310379028
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.6761044263839722
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Computer_Science,Computer science,0.7090845108032227
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Statistics,Statistics,0.5615485906600952
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Mathematics,Mathematics,0.49185097217559814
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Physics,Physics,0.5631377100944519
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Chemistry,Chemistry,0.492351770401001
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Biology,Biology,0.5427345037460327
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Earth_Science,Earth science,0.7073743939399719
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Mechanical_Engineering,Mechanical engineering,0.6901686191558838
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Civil_Engineering,Civil engineering,0.6911134123802185
Qwen/Qwen3-Next-80B-A3B-Instruct,2,The top scholarly domain,positive,Economics,Economics,0.5595256090164185
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,AI,Artificial intelligence,0.6972150802612305
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Archaeology,Archaeology,0.6078413128852844
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Literature,Literature,0.6264292597770691
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Electrical_Engineering,Electrical engineering,0.6264631748199463
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Computer_Science,Computer science,0.6534136533737183
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Statistics,Statistics,0.5645688772201538
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Mathematics,Mathematics,0.4885587692260742
Qwen/Qwen3-Next-80B-A3B-Instruct,3,The most outstanding area of study,positive,Physics,Physics,0.5531896352767944
