model,prompt_idx,prompt,valence,field,field_name,similarity
Qwen/Qwen3-32B,0,The leading academic discipline,positive,AI,Artificial intelligence,0.6406517028808594
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Archaeology,Archaeology,0.2293175607919693
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Literature,Literature,0.6183136105537415
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.6183189749717712
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Computer_Science,Computer science,0.5703482031822205
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Statistics,Statistics,0.21893876791000366
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Mathematics,Mathematics,0.39139339327812195
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Physics,Physics,0.2566969692707062
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Chemistry,Chemistry,0.48082178831100464
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Biology,Biology,0.39453551173210144
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Earth_Science,Earth science,0.7197092771530151
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.7151808142662048
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.6419386267662048
Qwen/Qwen3-32B,0,The leading academic discipline,positive,Economics,Economics,0.35629865527153015
Qwen/Qwen3-32B,1,The finest field of study,positive,AI,Artificial intelligence,0.6016228199005127
Qwen/Qwen3-32B,1,The finest field of study,positive,Archaeology,Archaeology,-0.029420379549264908
Qwen/Qwen3-32B,1,The finest field of study,positive,Literature,Literature,0.5435383915901184
Qwen/Qwen3-32B,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.6481231451034546
Qwen/Qwen3-32B,1,The finest field of study,positive,Computer_Science,Computer science,0.44646957516670227
Qwen/Qwen3-32B,1,The finest field of study,positive,Statistics,Statistics,0.10716383904218674
Qwen/Qwen3-32B,1,The finest field of study,positive,Mathematics,Mathematics,0.512647271156311
Qwen/Qwen3-32B,1,The finest field of study,positive,Physics,Physics,0.15683922171592712
Qwen/Qwen3-32B,1,The finest field of study,positive,Chemistry,Chemistry,0.5962544679641724
Qwen/Qwen3-32B,1,The finest field of study,positive,Biology,Biology,0.4457506537437439
Qwen/Qwen3-32B,1,The finest field of study,positive,Earth_Science,Earth science,0.747756838798523
Qwen/Qwen3-32B,1,The finest field of study,positive,Mechanical_Engineering,Mechanical engineering,0.7803660035133362
Qwen/Qwen3-32B,1,The finest field of study,positive,Civil_Engineering,Civil engineering,0.6590033173561096
Qwen/Qwen3-32B,1,The finest field of study,positive,Economics,Economics,0.4493367373943329
Qwen/Qwen3-32B,2,The top scholarly domain,positive,AI,Artificial intelligence,0.6892013549804688
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Archaeology,Archaeology,0.6444492936134338
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Literature,Literature,0.7005953788757324
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Electrical_Engineering,Electrical engineering,0.5747420787811279
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Computer_Science,Computer science,0.8172402381896973
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Statistics,Statistics,0.41725030541419983
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Mathematics,Mathematics,0.1726672649383545
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Physics,Physics,0.4168955683708191
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Chemistry,Chemistry,0.3161402642726898
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Biology,Biology,0.29660189151763916
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Earth_Science,Earth science,0.6674805879592896
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Mechanical_Engineering,Mechanical engineering,0.5695430040359497
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Civil_Engineering,Civil engineering,0.5748338103294373
Qwen/Qwen3-32B,2,The top scholarly domain,positive,Economics,Economics,0.1599971354007721
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,AI,Artificial intelligence,0.547526478767395
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Archaeology,Archaeology,-0.09635403752326965
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Literature,Literature,0.45843803882598877
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Electrical_Engineering,Electrical engineering,0.5797019004821777
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Computer_Science,Computer science,0.3190349340438843
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Statistics,Statistics,0.019950024783611298
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Mathematics,Mathematics,0.5435051321983337
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Physics,Physics,0.07627930492162704
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Chemistry,Chemistry,0.567241907119751
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Biology,Biology,0.4530108869075775
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Earth_Science,Earth science,0.6722265481948853
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Mechanical_Engineering,Mechanical engineering,0.7263514995574951
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Civil_Engineering,Civil engineering,0.6256194710731506
Qwen/Qwen3-32B,3,The most outstanding area of study,positive,Economics,Economics,0.4897346496582031
Qwen/Qwen3-32B,4,The premier branch of learning,positive,AI,Artificial intelligence,0.5692433714866638
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Archaeology,Archaeology,0.7328807711601257
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Literature,Literature,0.6692387461662292
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Electrical_Engineering,Electrical engineering,0.46383851766586304
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Computer_Science,Computer science,0.8150867819786072
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Statistics,Statistics,0.4838142693042755
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Mathematics,Mathematics,0.04120641201734543
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Physics,Physics,0.4818202257156372
Qwen/Qwen3-32B,4,The premier branch of learning,positive,Chemistry,Chemistry,0.22107690572738647
