model,prompt_idx,prompt,valence,field,field_name,similarity
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,AI,Artificial intelligence,0.7293193936347961
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Archaeology,Archaeology,0.499271422624588
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Literature,Literature,0.5243149995803833
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.6412155628204346
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Computer_Science,Computer science,0.6973572373390198
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Statistics,Statistics,0.4913412928581238
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Mathematics,Mathematics,0.468980073928833
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Physics,Physics,0.3854411542415619
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Chemistry,Chemistry,0.4178887605667114
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Biology,Biology,0.28985169529914856
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Earth_Science,Earth science,0.6439678072929382
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.629661500453949
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.6666366457939148
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,0,The leading academic discipline,positive,Economics,Economics,0.5358063578605652
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,AI,Artificial intelligence,0.7397885918617249
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,Archaeology,Archaeology,0.4093303680419922
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,Literature,Literature,0.4601811170578003
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.5465264320373535
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,Computer_Science,Computer science,0.6106816530227661
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1,The finest field of study,positive,Statistics,Statistics,0.4239439070224762
