model,prompt_idx,prompt,valence,field,field_name,similarity
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,AI,Artificial intelligence,0.9104437232017517
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Archaeology,Archaeology,0.8834084272384644
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Literature,Literature,0.8707601428031921
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Electrical_Engineering,Electrical engineering,0.909286618232727
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Computer_Science,Computer science,0.9082363843917847
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Statistics,Statistics,0.8194360733032227
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Mathematics,Mathematics,0.8536654710769653
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Physics,Physics,0.819033145904541
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Chemistry,Chemistry,0.826353907585144
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Biology,Biology,0.839036226272583
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Earth_Science,Earth science,0.9019818305969238
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Mechanical_Engineering,Mechanical engineering,0.905911386013031
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Civil_Engineering,Civil engineering,0.9167182445526123
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,The leading academic discipline,positive,Economics,Economics,0.8270292282104492
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,AI,Artificial intelligence,0.9299138784408569
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Archaeology,Archaeology,0.9072890877723694
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Literature,Literature,0.9041857123374939
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Electrical_Engineering,Electrical engineering,0.9143304228782654
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Computer_Science,Computer science,0.9239038825035095
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Statistics,Statistics,0.8472896814346313
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Mathematics,Mathematics,0.8758829236030579
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Physics,Physics,0.8409402966499329
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Chemistry,Chemistry,0.8523478507995605
Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,1,The finest field of study,positive,Biology,Biology,0.8599282503128052
