model,prompt,valence,field,similarity
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,AI,0.6875
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Archeology,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Literature,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The leading academic discipline,positive,Electrical_Engineering,0.64453125
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,AI,0.7109375
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Archeology,0.53515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Literature,0.51953125
Qwen/Qwen3-Next-80B-A3B-Instruct,The finest field of study,positive,Electrical_Engineering,0.65625
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,AI,0.6796875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Archeology,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Literature,0.51171875
Qwen/Qwen3-Next-80B-A3B-Instruct,The top scholarly domain,positive,Electrical_Engineering,0.6484375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,AI,0.6953125
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Archeology,0.5234375
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Literature,0.515625
Qwen/Qwen3-Next-80B-A3B-Instruct,The most outstanding area of study,positive,Electrical_Engineering,0.640625
Qwen/Qwen3-Next-80B-A3B-Instruct,The premier branch of learning,positive,AI,0.72265625
Qwen/Qwen3-Next-80B-A3B-Instruct,The premier branch of learning,positive,Archeology,0.57421875
Qwen/Qwen3-Next-80B-A3B-Instruct,The premier branch of learning,positive,Literature,0.5546875
Qwen/Qwen3-Next-80B-A3B-Instruct,The premier branch of learning,positive,Electrical_Engineering,0.671875
Qwen/Qwen3-Next-80B-A3B-Instruct,The highest-ranked academic field,positive,AI,0.63671875
Qwen/Qwen3-Next-80B-A3B-Instruct,The highest-ranked academic field,positive,Archeology,0.46875
