model,prompt,valence,field,similarity
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,AI,0.66796875
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Archaeology,0.48828125
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Literature,0.58984375
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Electrical_Engineering,0.6796875
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Computer_Science,0.75
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Statistics,0.58984375
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Mathematics,0.59375
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Physics,0.6171875
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Chemistry,0.5546875
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Biology,0.458984375
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Earth_Science,0.70703125
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Mechanical_Engineering,0.6640625
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Civil_Engineering,0.75390625
meta-llama/Llama-3.3-70B-Instruct,The leading academic discipline,positive,Economics,0.4765625
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,AI,0.65625
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Archaeology,0.46484375
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Literature,0.5546875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Electrical_Engineering,0.63671875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Computer_Science,0.6875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Statistics,0.546875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Mathematics,0.546875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Physics,0.57421875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Chemistry,0.52734375
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Biology,0.416015625
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Earth_Science,0.67578125
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Mechanical_Engineering,0.63671875
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Civil_Engineering,0.70703125
meta-llama/Llama-3.3-70B-Instruct,The finest field of study,positive,Economics,0.421875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,AI,0.65234375
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Archaeology,0.50390625
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Literature,0.57421875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Electrical_Engineering,0.66015625
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Computer_Science,0.734375
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Statistics,0.56640625
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Mathematics,0.578125
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Physics,0.59765625
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Chemistry,0.5546875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Biology,0.44921875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Earth_Science,0.69921875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Mechanical_Engineering,0.6484375
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Civil_Engineering,0.73046875
meta-llama/Llama-3.3-70B-Instruct,The top scholarly domain,positive,Economics,0.474609375
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,AI,0.6171875
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Archaeology,0.41796875
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Literature,0.515625
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Electrical_Engineering,0.59765625
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Computer_Science,0.65234375
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Statistics,0.515625
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Mathematics,0.50390625
meta-llama/Llama-3.3-70B-Instruct,The most outstanding area of study,positive,Physics,0.53125
