model,prompt,valence,field,similarity
google/gemma-3-27b-it,The leading academic discipline,positive,AI,0.7109375
google/gemma-3-27b-it,The leading academic discipline,positive,Archaeology,0.64453125
google/gemma-3-27b-it,The leading academic discipline,positive,Literature,0.65625
google/gemma-3-27b-it,The leading academic discipline,positive,Electrical_Engineering,0.703125
google/gemma-3-27b-it,The leading academic discipline,positive,Computer_Science,0.69140625
google/gemma-3-27b-it,The leading academic discipline,positive,Statistics,0.66015625
google/gemma-3-27b-it,The leading academic discipline,positive,Mathematics,0.6640625
google/gemma-3-27b-it,The leading academic discipline,positive,Physics,0.65625
google/gemma-3-27b-it,The leading academic discipline,positive,Chemistry,0.66015625
google/gemma-3-27b-it,The leading academic discipline,positive,Biology,0.66015625
google/gemma-3-27b-it,The leading academic discipline,positive,Earth_Science,0.69140625
google/gemma-3-27b-it,The leading academic discipline,positive,Mechanical_Engineering,0.6953125
google/gemma-3-27b-it,The leading academic discipline,positive,Civil_Engineering,0.68359375
google/gemma-3-27b-it,The leading academic discipline,positive,Economics,0.66015625
google/gemma-3-27b-it,The finest field of study,positive,AI,0.6484375
google/gemma-3-27b-it,The finest field of study,positive,Archaeology,0.59375
google/gemma-3-27b-it,The finest field of study,positive,Literature,0.59375
google/gemma-3-27b-it,The finest field of study,positive,Electrical_Engineering,0.64453125
google/gemma-3-27b-it,The finest field of study,positive,Computer_Science,0.6328125
google/gemma-3-27b-it,The finest field of study,positive,Statistics,0.59765625
google/gemma-3-27b-it,The finest field of study,positive,Mathematics,0.59765625
google/gemma-3-27b-it,The finest field of study,positive,Physics,0.59765625
google/gemma-3-27b-it,The finest field of study,positive,Chemistry,0.6015625
google/gemma-3-27b-it,The finest field of study,positive,Biology,0.59765625
google/gemma-3-27b-it,The finest field of study,positive,Earth_Science,0.640625
google/gemma-3-27b-it,The finest field of study,positive,Mechanical_Engineering,0.640625
google/gemma-3-27b-it,The finest field of study,positive,Civil_Engineering,0.625
google/gemma-3-27b-it,The finest field of study,positive,Economics,0.59765625
google/gemma-3-27b-it,The top scholarly domain,positive,AI,0.6875
google/gemma-3-27b-it,The top scholarly domain,positive,Archaeology,0.63671875
google/gemma-3-27b-it,The top scholarly domain,positive,Literature,0.65625
google/gemma-3-27b-it,The top scholarly domain,positive,Electrical_Engineering,0.6796875
google/gemma-3-27b-it,The top scholarly domain,positive,Computer_Science,0.67578125
google/gemma-3-27b-it,The top scholarly domain,positive,Statistics,0.65625
google/gemma-3-27b-it,The top scholarly domain,positive,Mathematics,0.66015625
google/gemma-3-27b-it,The top scholarly domain,positive,Physics,0.65625
google/gemma-3-27b-it,The top scholarly domain,positive,Chemistry,0.66015625
google/gemma-3-27b-it,The top scholarly domain,positive,Biology,0.65625
google/gemma-3-27b-it,The top scholarly domain,positive,Earth_Science,0.68359375
google/gemma-3-27b-it,The top scholarly domain,positive,Mechanical_Engineering,0.67578125
google/gemma-3-27b-it,The top scholarly domain,positive,Civil_Engineering,0.6640625
google/gemma-3-27b-it,The top scholarly domain,positive,Economics,0.65625
google/gemma-3-27b-it,The most outstanding area of study,positive,AI,0.6328125
google/gemma-3-27b-it,The most outstanding area of study,positive,Archaeology,0.5703125
google/gemma-3-27b-it,The most outstanding area of study,positive,Literature,0.57421875
google/gemma-3-27b-it,The most outstanding area of study,positive,Electrical_Engineering,0.62109375
google/gemma-3-27b-it,The most outstanding area of study,positive,Computer_Science,0.60546875
google/gemma-3-27b-it,The most outstanding area of study,positive,Statistics,0.578125
google/gemma-3-27b-it,The most outstanding area of study,positive,Mathematics,0.58203125
